id,timestamp,date,file,uri,album,post_title,caption,description,role,groups,watermark,ocr
1,1785684257,2026-08-02 11:24 AM EDT,media/1479816930839253.jpg,this_profile's_activity_across_facebook/posts/media/Mobileuploads_624264343061187/1479816930839253.jpg,Mobile uploads,Whimsy added 4 new photos.,"The rain held off for the parade on Clark Lake this morning, and finally got a chance to check out Lakeside Market & Spirits! They really put some love into this building and thought into their plans. Can't wait to see them grow!",,context,Uncategorized and General Portfolio,False,"> wv SS Z y ion ees HR \. = y sae oa gas —— es 4 We: es —\f a —it aX ax Lat Ae ——— oer = a = % ee LAMZeCt no = 10100 = —— ms > ie oe — — iS ae oe a ue me eS nee SS = oe Se ai iS 3 at eXs < ae SS o8 SS a <s SS. a ah 2 —* SS She x= as as iS ows ms #s a S aS"" Sets eke Bi ent “S SS a cS =: ee. y) es A © BL AG Soph aes Sa: oe"
2,1785684257,2026-08-02 11:24 AM EDT,media/1479817050839241.jpg,this_profile's_activity_across_facebook/posts/media/Mobileuploads_624264343061187/1479817050839241.jpg,Mobile uploads,Whimsy added 4 new photos.,"The rain held off for the parade on Clark Lake this morning, and finally got a chance to check out Lakeside Market & Spirits! They really put some love into this building and thought into their plans. Can't wait to see them grow!",,context,Uncategorized and General Portfolio,False,
3,1785684257,2026-08-02 11:24 AM EDT,media/1479817140839232.jpg,this_profile's_activity_across_facebook/posts/media/Mobileuploads_624264343061187/1479817140839232.jpg,Mobile uploads,Whimsy added 4 new photos.,"The rain held off for the parade on Clark Lake this morning, and finally got a chance to check out Lakeside Market & Spirits! They really put some love into this building and thought into their plans. Can't wait to see them grow!",,context,Uncategorized and General Portfolio,False,
4,1785684257,2026-08-02 11:24 AM EDT,media/1479817264172553.jpg,this_profile's_activity_across_facebook/posts/media/Mobileuploads_624264343061187/1479817264172553.jpg,Mobile uploads,Whimsy added 4 new photos.,"The rain held off for the parade on Clark Lake this morning, and finally got a chance to check out Lakeside Market & Spirits! They really put some love into this building and thought into their plans. Can't wait to see them grow!",,context,Uncategorized and General Portfolio,False,
5,1785610811,2026-08-01 03:00 PM EDT,media/1479071537580459.jpg,this_profile's_activity_across_facebook/posts/media/Mobileuploads_624264343061187/1479071537580459.jpg,Mobile uploads,Whimsy added 7 new photos.,"As our event wraps up I want to thank you all so much for attending the Back to school bash with The Jackson Crossing Mall! It was such a fun event. Kids dancing to music, school photos, back packs and hot meal vouchers given, tickets to the Michigan Theater a live mascot and our local library! This event had over triple the attendance of last year, and we can't wait to do it again next year! Thanks for coming!",,result,Back to School Bash at Jackson Crossing | Jackson Crossing Community Events,False,
6,1785610811,2026-08-01 03:00 PM EDT,media/1479071577580455.jpg,this_profile's_activity_across_facebook/posts/media/Mobileuploads_624264343061187/1479071577580455.jpg,Mobile uploads,Whimsy added 7 new photos.,"As our event wraps up I want to thank you all so much for attending the Back to school bash with The Jackson Crossing Mall! It was such a fun event. Kids dancing to music, school photos, back packs and hot meal vouchers given, tickets to the Michigan Theater a live mascot and our local library! This event had over triple the attendance of last year, and we can't wait to do it again next year! Thanks for coming!",,result,Back to School Bash at Jackson Crossing | Jackson Crossing Community Events,False,i V/s } if —_ & A” Ny ng ay? begad) gf wy mt
7,1785610811,2026-08-01 03:00 PM EDT,media/1479071617580451.jpg,this_profile's_activity_across_facebook/posts/media/Mobileuploads_624264343061187/1479071617580451.jpg,Mobile uploads,Whimsy added 7 new photos.,"As our event wraps up I want to thank you all so much for attending the Back to school bash with The Jackson Crossing Mall! It was such a fun event. Kids dancing to music, school photos, back packs and hot meal vouchers given, tickets to the Michigan Theater a live mascot and our local library! This event had over triple the attendance of last year, and we can't wait to do it again next year! Thanks for coming!",,result,Back to School Bash at Jackson Crossing | Jackson Crossing Community Events,False,
8,1785610811,2026-08-01 03:00 PM EDT,media/1479071647580448.jpg,this_profile's_activity_across_facebook/posts/media/Mobileuploads_624264343061187/1479071647580448.jpg,Mobile uploads,Whimsy added 7 new photos.,"As our event wraps up I want to thank you all so much for attending the Back to school bash with The Jackson Crossing Mall! It was such a fun event. Kids dancing to music, school photos, back packs and hot meal vouchers given, tickets to the Michigan Theater a live mascot and our local library! This event had over triple the attendance of last year, and we can't wait to do it again next year! Thanks for coming!",,result,Back to School Bash at Jackson Crossing | Jackson Crossing Community Events,False,
9,1785610811,2026-08-01 03:00 PM EDT,media/1479071704247109.jpg,this_profile's_activity_across_facebook/posts/media/Mobileuploads_624264343061187/1479071704247109.jpg,Mobile uploads,Whimsy added 7 new photos.,"As our event wraps up I want to thank you all so much for attending the Back to school bash with The Jackson Crossing Mall! It was such a fun event. Kids dancing to music, school photos, back packs and hot meal vouchers given, tickets to the Michigan Theater a live mascot and our local library! This event had over triple the attendance of last year, and we can't wait to do it again next year! Thanks for coming!",,result,Back to School Bash at Jackson Crossing | Jackson Crossing Community Events,False,
10,1785610811,2026-08-01 03:00 PM EDT,media/1479071790913767.jpg,this_profile's_activity_across_facebook/posts/media/Mobileuploads_624264343061187/1479071790913767.jpg,Mobile uploads,Whimsy added 7 new photos.,"As our event wraps up I want to thank you all so much for attending the Back to school bash with The Jackson Crossing Mall! It was such a fun event. Kids dancing to music, school photos, back packs and hot meal vouchers given, tickets to the Michigan Theater a live mascot and our local library! This event had over triple the attendance of last year, and we can't wait to do it again next year! Thanks for coming!",,result,Back to School Bash at Jackson Crossing | Jackson Crossing Community Events,False,
